customer_number,use_case_x,registration_month,kyc_status,spend_volume,spend_transaction_count,use_case_y,num_use_case
10021652,Online Purchase,Nov 2019,1,748,2,"['Online Purchase', 'Pay with PayMaya']",2
10021652,Pay with PayMaya,Nov 2019,1,1200,4,"['Online Purchase', 'Pay with PayMaya']",2
10021656,Bills Payment,Feb 2020,1,1083.72,1,['Bills Payment'],1
10021671,Bills Payment,Mar 2018,1,238,1,['Bills Payment'],1
10021681,P2P Sending,Dec 2020,1,20,1,['P2P Sending'],1
10021725,PAYMAYA SHOP,Aug 2020,1,100,2,"['PAYMAYA SHOP', 'QR']",2
10021725,QR,Aug 2020,1,399,1,"['PAYMAYA SHOP', 'QR']",2
1002176,PAYMAYA SHOP,Dec 2018,1,25,2,['PAYMAYA SHOP'],1
10021769,Bills Payment,Sep 2019,1,3299,1,"['Bills Payment', 'PAYMAYA SHOP']",2
10021769,PAYMAYA SHOP,Sep 2019,1,50,1,"['Bills Payment', 'PAYMAYA SHOP']",2
1002178,P2P Sending,Nov 2018,1,12800,9,"['P2P Sending', 'P2P - Consumer to Negosyo Sending', 'PAYMAYA SHOP']",3
1002178,P2P - Consumer to Negosyo Sending,Nov 2018,1,70300,24,"['P2P Sending', 'P2P - Consumer to Negosyo Sending', 'PAYMAYA SHOP']",3
1002178,PAYMAYA SHOP,Nov 2018,1,2650,7,"['P2P Sending', 'P2P - Consumer to Negosyo Sending', 'PAYMAYA SHOP']",3
1002179,Instapay Sending,Oct 2018,1,185,1,['Instapay Sending'],1
10021796,PAYMAYA SHOP,Sep 2019,1,100,4,['PAYMAYA SHOP'],1
1002180,Instapay Sending,Aug 2021,1,5950,2,['Instapay Sending'],1
10021833,ATM Withdrawal,Feb 2018,1,8916,1,"['ATM Withdrawal', 'P2P Sending']",2
10021833,P2P Sending,Feb 2018,1,90,1,"['ATM Withdrawal', 'P2P Sending']",2
1002192,Bills Payment,May 2017,1,512,1,['Bills Payment'],1
10021939,Pay with PayMaya,Jan 2021,0,458,1,['Pay with PayMaya'],1
10022046,P2P Sending,May 2021,1,50,1,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
10022046,Instapay Sending,May 2021,1,500,1,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
10022046,PAYMAYA SHOP,May 2021,1,915,24,"['P2P Sending', 'Instapay Sending', 'PAYMAYA SHOP']",3
1002205,Instapay Sending,Feb 2018,1,4600,1,['Instapay Sending'],1
10022060,Online Purchase,Dec 2020,1,549,1,['Online Purchase'],1
1002208,Bills Payment,Aug 2021,0,6,1,['Bills Payment'],1
10022094,ATM Withdrawal,Jul 2018,1,4,2,['ATM Withdrawal'],1
10022152,ATM Withdrawal,Jun 2021,1,6036,4,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
10022152,Bills Payment,Jun 2021,1,675.82,1,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
10022152,Instapay Sending,Jun 2021,1,2150,4,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
10022152,PAYMAYA SHOP,Jun 2021,1,50,1,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
10022152,Online Purchase,Jun 2021,1,677,3,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
10022152,P2P Sending,Jun 2021,1,1000,1,"['ATM Withdrawal', 'Bills Payment', 'Instapay Sending', 'PAYMAYA SHOP', 'Online Purchase', 'P2P Sending']",6
