customer_number,use_case,registration_month,kyc_status,spend_volume,spend_transaction_count
10016607,ATM Withdrawal,2/1/19 0:00,1,9629.0,3
10016607,P2P - Consumer to Negosyo Sending,2/1/19 0:00,1,900.0,1
10016607,Instapay Sending,2/1/19 0:00,1,8240.0,5
10016631,PAYMAYA SHOP,9/1/19 0:00,1,218.0,3
10016631,P2P Sending,9/1/19 0:00,1,5715.0,4
10016631,Instapay Sending,9/1/19 0:00,1,92.0,1
10016631,ATM Withdrawal,9/1/19 0:00,1,1918.0,1
10016680,Instapay Sending,11/1/19 0:00,1,3200.0,2
10016680,PAYMAYA SHOP,11/1/19 0:00,1,50.0,1
10016690,Online Purchase,10/1/19 0:00,1,0.51,1
10016702,PAYMAYA SHOP,12/1/20 0:00,1,20.0,1
10016726,P2P Sending,6/1/19 0:00,1,17685.0,3
10016726,Instapay Sending,6/1/19 0:00,1,5000.0,1
10016726,PAYMAYA SHOP,6/1/19 0:00,1,15.0,1
10016727,Pay with PayMaya,8/1/21 0:00,1,468.97,2
10016727,Instapay Sending,8/1/21 0:00,1,5000.0,1
10016736,QR,2/1/18 0:00,1,428.0,2
10016736,Online Purchase,2/1/18 0:00,1,1073.56,1
10016764,Bills Payment,11/1/19 0:00,1,300.0,3
10016764,PAYMAYA SHOP,11/1/19 0:00,1,240.0,7
10016764,Instapay Sending,11/1/19 0:00,1,9921.0,9
10016770,Pay with PayMaya,8/1/21 0:00,0,250.0,1
10016807,ATM Withdrawal,9/1/19 0:00,1,54724.0,10
10016812,Instapay Sending,7/1/20 0:00,1,1970.0,5
10016812,PAYMAYA SHOP,7/1/20 0:00,1,99.0,1
10016812,Bills Payment,7/1/20 0:00,1,4400.55,2
10016812,ATM Withdrawal,7/1/20 0:00,1,2535.0,3
10016812,P2P Sending,7/1/20 0:00,1,210.0,2
10016815,Bills Payment,3/1/18 0:00,1,2449.0,2
10016815,Online Purchase,3/1/18 0:00,1,938.0,3
10016815,Instapay Sending,3/1/18 0:00,1,100.0,1
1001687,ATM Withdrawal,3/1/18 0:00,1,3016.0,1
1001687,POS Purchase,3/1/18 0:00,1,426.0,1
1001687,Bills Payment,3/1/18 0:00,1,1000.0,2
1001687,Instapay Sending,3/1/18 0:00,1,100.0,1
1001687,PAYMAYA SHOP,3/1/18 0:00,1,550.0,6
1001687,Online Purchase,3/1/18 0:00,1,198.0,2
1001687,P2P Sending,3/1/18 0:00,1,5118.0,9
10016905,QR,10/1/20 0:00,1,164.25,1
10016905,Instapay Sending,10/1/20 0:00,1,1870.0,5
10016918,P2P Sending,7/1/21 0:00,1,90400.0,10
1001693,Bills Payment,10/1/20 0:00,1,8076.5,4
1001693,PAYMAYA SHOP,10/1/20 0:00,1,114.0,2
10016938,Instapay Sending,8/1/18 0:00,1,1200.0,1
10016938,Bills Payment,8/1/18 0:00,1,1512.0,1
10016938,PAYMAYA SHOP,8/1/18 0:00,1,165.0,2
10016959,PAYMAYA SHOP,7/1/21 0:00,1,50.0,1
10016998,ATM Withdrawal,8/1/20 0:00,1,1.0,1
10016999,Pay with PayMaya,7/1/19 0:00,0,49.0,1
10016999,PAYMAYA SHOP,7/1/19 0:00,0,378.0,9
10016999,QR,7/1/19 0:00,0,180.0,5
10016999,Bills Payment,7/1/19 0:00,0,409.07,1
10017009,PAYMAYA SHOP,3/1/18 0:00,1,100.0,1
10017009,Bills Payment,3/1/18 0:00,1,2010.0,1
10017017,Instapay Sending,10/1/19 0:00,1,140.0,1
10017020,Pay with PayMaya,7/1/21 0:00,1,458.0,1
10017020,PAYMAYA SHOP,7/1/21 0:00,1,378.0,4
10017041,Pay with PayMaya,7/1/21 0:00,1,547.0,3
10017041,Online Purchase,7/1/21 0:00,1,4479.0,3
10017048,Instapay Sending,10/1/18 0:00,1,17200.0,1
10017048,Bills Payment,10/1/18 0:00,1,4970.84,1
10017056,Pay with PayMaya,7/1/21 0:00,0,7.0,1
10017065,ATM Withdrawal,9/1/20 0:00,1,108207.0,13
1001712,Bills Payment,1/1/20 0:00,1,2210.0,2
1001712,PAYMAYA SHOP,1/1/20 0:00,1,350.0,8
10017157,PAYMAYA SHOP,12/1/17 0:00,1,499.0,5
10017177,P2P Sending,9/1/20 0:00,1,20.0,1
